step,train,valid,trainavg,validavg
330,60.3999972343,32.0833325386,63.7599992752,31.4166665077
331,65.9999966621,31.25,63.8799989223,31.9999992847
332,64.9999976158,32.4999988079,64.1599977016,32.6666653156
333,62.5999987125,33.7499976158,64.5999979973,32.6666653156
334,66.7999982834,33.7499976158,63.639998436,32.9999983311
335,62.5999987125,32.0833325386,61.4399981499,32.8333318233
336,61.1999988556,32.9166650772,60.83999753,31.5833318233
337,53.9999961853,31.6666662693,58.1199979782,30.583332777
338,59.5999956131,27.4999976158,56.0799980164,29.7499990463
339,53.2000005245,28.7500023842,55.4799985886,28.9166665077
340,52.3999989033,27.9166638851,55.3999996185,27.9999995232
341,58.2000017166,28.7500023842,53.6800003052,28.6666667461
342,53.6000013351,27.0833313465,54.3599998951,29.0833330154
343,50.9999990463,30.8333337307,55.8399999142,28.9166665077
344,56.5999984741,30.8333337307,55.8799993992,28.9166665077
345,59.7999989986,27.0833313465,57.6399993896,29.1666674614
346,58.3999991417,28.7500023842,59.1599988937,29.0000009537
347,62.4000012875,28.3333361149,60,28.9166676998
348,58.5999965668,30.0000011921,59.8800003529,29.1666686535
349,60.8000040054,30.4166674614,60.680000782,29.1666686535
350,59.2000007629,28.3333361149,60.680000782,29.2500019073
351,62.4000012875,28.7500023842,61.5600013733,28.7500011921
352,62.4000012875,28.7500023842,61.5200006962,28.5833346844
353,62.9999995232,27.4999976158,62.760001421,28.9166676998
354,60.6000006199,29.5833349228,62.800000906,29.0833342075
355,65.4000043869,30.0000011921,62.4400007725,29.7500002384
356,62.5999987125,29.5833349228,63.2000005245,30.4166674614
357,60.6000006199,32.0833325386,63.6800003052,31.25
358,66.7999982834,30.8333337307,63.0399990082,31.5833330154
359,62.9999995232,33.7499976158,62.879999876,31.833332777
360,62.1999979019,31.6666662693,63.6399996281,30.9999990463
361,61.8000030518,30.8333337307,62.7199995518,31.2499988079
362,64.3999993801,27.9166638851,62.5199997425,30.9166657925
363,62.1999979019,32.0833325386,62.840000391,30.4166662693
364,62.0000004768,32.0833325386,62.6800000668,29.9166667461
365,63.8000011444,29.1666686535,63.6000001431,30.8333337307
366,61.0000014305,28.3333361149,62.840000391,30.4166674614
367,68.9999997616,32.4999988079,62.3599994183,30.1666676998
368,58.3999991417,30.0000011921,60.5599987507,30.083334446
369,59.5999956131,30.8333337307,57.7999985218,30.666667223
370,54.7999978065,28.7500023842,55.7199978828,30.7500004768
371,47.2000002861,31.25,56.2799978256,30.5000007153
372,58.5999965668,32.9166650772,57.6799988747,30.083334446
373,61.1999988556,28.7500023842,59.8399996758,30.083334446
374,66.6000008583,28.7500023842,63.9599990845,29.6666681767
375,65.600001812,28.7500023842,64.6399998665,29.5833349228
376,67.7999973297,29.1666686535,65.1200008392,30.0000011921
377,62.0000004768,32.4999988079,64.6800005436,30.1666676998
378,63.6000037193,30.8333337307,64.6800005436,30.4166674614
379,64.3999993801,29.5833349228,64.3200004101,30.666667223
380,65.600001812,30.0000011921,64.0800011158,30.8333337307
381,65.9999966621,30.4166674614,64.3599998951,30.3333342075
382,60.8000040054,33.3333313465,64.9199998379,30.2500009537
383,64.9999976158,28.3333361149,64.7599995136,30.083334446
384,67.199999094,29.1666686535,65.2400004864,29.6666681767
385,64.8000001907,29.1666686535,65.8799993992,28.9166688919
386,68.4000015259,28.3333361149,66.1199998856,29.1666686535
387,63.9999985695,29.5833349228,65.720000267,29.5000016689
388,66.2000000477,29.5833349228,66.1199998856,29.2500007153
389,65.2000010014,30.8333337307,65.5200004578,29.6666669846
390,66.7999982834,27.9166638851,63.8000011444,29.5833337307
391,65.4000043869,30.4166674614,61.7600011826,29.0833330154
392,55.4000020027,29.1666686535,60.3600013256,28.4166657925
393,56.0000002384,27.0833313465,58.8400018215,28.5833334923
394,58.2000017166,27.4999976158,58.4000003338,28.4166669846
395,59.2000007629,28.7500023842,58.2400000095,28.2500004768
396,63.1999969482,29.5833349228,58.1599998474,29.5000004768
397,54.6000003815,28.3333361149,58.599998951,30.2500009537
398,55.5999994278,33.3333313465,59.9999988079,30.7500004768
399,60.3999972343,31.25,59.9599993229,31.4166665077
400,66.2000000477,31.25,62.120000124,31.9999992847
401,62.9999995232,32.9166650772,64.5200002193,31.25
402,65.4000043869,31.25,62.3600006104,30.583332777
403,67.5999999046,29.5833349228,57.0400011539,30.3333330154
404,49.5999991894,27.9166638851,54.3200016022,29.416667223
405,39.6000027657,30.0000011921,51.0400009155,29.2500007153
406,49.4000017643,28.3333361149,47.3200011253,29.0833342075
407,49.0000009537,30.4166674614,48.0400013924,29.0833342075
408,49.0000009537,28.7500023842,51.1200010777,29.416667223
409,53.2000005245,27.9166638851,52.5200009346,29.8333334923
410,55.0000011921,31.6666662693,54.0400004387,29.8333334923
411,56.400001049,30.4166674614,55.5999994278,30
412,56.5999984741,30.4166674614,57.199999094,30
413,56.7999958992,29.5833349228,58.1999993324,29.7500002384
414,61.1999988556,27.9166638851,59.1199994087,29.2499995232
415,60.0000023842,30.4166674614,59.9199998379,28.5833323002
416,61.0000014305,27.9166638851,61.2000000477,28.0833315849
417,60.6000006199,27.0833313465,61.5200006962,28.0833315849
418,63.1999969482,27.0833313465,62.6400005817,28.0833315849
419,62.8000020981,27.9166638851,63.0400002003,28.4999990463
420,65.600001812,30.4166674614,64.0000009537,29.0833330154
421,62.9999995232,30.0000011921,64.5200014114,29.416667223
422,65.4000043869,30.0000011921,65.4800009727,30.0000011921
423,65.7999992371,28.7500023842,65.6000006199,30.0000011921
424,67.5999999046,30.8333337307,65.4800009727,29.9166679382
425,66.2000000477,30.4166674614,65.3600001335,29.1666674614
426,62.4000012875,29.5833349228,65.4800009727,29.7500002384
427,64.8000001907,26.2499988079,65.0000011921,29.416667223
428,66.4000034332,31.6666662693,64.8400020599,30.1666665077
429,65.2000010014,29.1666686535,65.3600013256,30.1666665077
430,65.4000043869,34.1666638851,66.3200008869,31.0833334923
431,64.9999976158,29.5833349228,65.2400004864,30.9166669846
432,69.5999979973,30.8333337307,64.8000001907,31.0833334923
433,61.0000014305,30.8333337307,65.3600001335,30.3333342075
434,62.9999995232,30.0000011921,65.1999998093,30.5833339691
435,68.2000041008,30.4166674614,64.6000003815,30.4166674614
436,64.1999959946,30.8333337307,65.2399992943,30.2500009537
437,66.6000008583,30.0000011921,65.7999992371,30.0000011921
438,64.1999959946,30.0000011921,65.7999992371,30.1666676998
439,65.7999992371,28.7500023842,65.6400001049,30.1666676998
440,68.2000041008,31.25,64.3599998951,30.083334446
441,63.4000003338,30.8333337307,64.9199998379,29.6666669846
442,60.1999998093,29.5833349228,64.3599998951,30
443,66.9999957085,27.9166638851,63.4799993038,29.6666669846
444,62.9999995232,30.4166674614,64.9199986458,28.9999997616
445,63.8000011444,29.5833349228,66.9999980927,29.0833330154
446,70.5999970436,27.4999976158,66.7199993134,29.2500007153
447,70.5999970436,30.0000011921,67.5999999046,29.2500007153
448,65.600001812,28.7500023842,68.3599996567,29.2500007153
449,67.4000024796,30.4166674614,67.5200009346,29.8333346844
450,67.5999999046,29.5833349228,66.360001564,29.8333346844
451,66.4000034332,30.4166674614,65.8000016212,30.2500009537
452,64.8000001907,30.0000011921,66.0400009155,30.666667223
453,62.8000020981,30.8333337307,65.4400014877,31.0000002384
454,68.599998951,32.4999988079,66.360001564,31.0833334923
455,64.6000027657,31.25,66.7600011826,31.0833334923
456,71.0000038147,30.8333337307,67.9200005531,31.1666667461
457,66.7999982834,30.0000011921,62.2400009632,30.0833332539
458,68.599998951,31.25,56.7599999905,29.7500002384
459,40.2000010014,27.0833313465,50.3999996185,28.9999997616
460,37.1999979019,29.5833349228,45.4799997807,28.4166657925
461,39.200001955,27.0833313465,40.8799993992,27.8333330154
462,42.199999094,27.0833313465,41.9599986076,28.5000002384
463,45.5999970436,28.3333361149,44.7999989986,28.5833334923
464,45.5999970436,30.4166674614,47.2799992561,28.833334446
465,51.3999998569,30.0000011921,47.9599988461,29.9166679382
466,51.6000032425,28.3333361149,48.8799989223,30.7500004768
467,45.5999970436,32.4999988079,50.0800001621,30.7500004768
468,50.1999974251,32.4999988079,49.6399998665,30.9166669846
469,51.6000032425,30.4166674614,49.6799993515,31.7499995232
470,49.1999983788,30.8333337307,50.759999752,31.6666662693
471,51.8000006676,32.4999988079,51.1600005627,31.4999997616
472,50.9999990463,32.0833325386,51.9200003147,31.5833330154
473,52.2000014782,31.6666662693,53.0400002003,31.7499995232
474,55.4000020027,30.8333337307,53.0799996853,31.4166665077
475,54.7999978065,31.6666662693,53.6399996281,31.3333332539
